derivat,vnumber,btnumber,at_id,prio_int,ia_genehmigungsstand,pep_bauphase,ksps,istufe,anlauf_sop_at,bo,quelle,av_fzg,pl,basistyp,puk_werk,hybrid,basisausfuehrung,antriebsart,motortyp,rueckgabe_soll,key
f6f8e7019289,065b2a388efd,8a45ad44eea5,00d064796d9f,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,620c655d09d4,4de01d76ccae,0d04ff6d464f,756653dcabed,ef82e447bd5f,ca12f7e0bc26,97fcfadd6aae,2dbf72b294d1,6ded4dc64807,ab04da539770,93c7061938b3,650ed51ad0b6
f6f8e7019289,c52ee0ebf109,cb66bfb42153,1ebf1035cb85,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,620c655d09d4,4de01d76ccae,30868a1861d3,756653dcabed,65d7aa7f83b6,ca12f7e0bc26,ad21b6c84713,2dbf72b294d1,8f66477f646c,a83f97815875,93c7061938b3,650ed51ad0b6
f6f8e7019289,a88c3547005c,10c0272ac124,07d273ba18a6,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,620c655d09d4,4de01d76ccae,f1de0b76efa9,756653dcabed,0704d21ce213,ca12f7e0bc26,ad21b6c84713,7c572aeb3f13,8f66477f646c,a83f97815875,4a7d1a921dfc,650ed51ad0b6
f6f8e7019289,c2f9a93aae2d,34f520e6956a,33964965f73c,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,00e672016ac8,4de01d76ccae,ed3e7680e506,756653dcabed,ff6e75d6da60,ca12f7e0bc26,ad21b6c84713,2dbf72b294d1,6ded4dc64807,915c1c075d10,c741cbf5060d,650ed51ad0b6
f6f8e7019289,8155c823e6c0,69a7aace79cc,12c1df2ce4ae,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,00e672016ac8,4de01d76ccae,d5c418ba2aee,756653dcabed,65d7aa7f83b6,ca12f7e0bc26,ad21b6c84713,2dbf72b294d1,8f66477f646c,a83f97815875,559a1484dda7,650ed51ad0b6
f6f8e7019289,a25486866c02,a4fcf15f4d15,a4c1a2b21e18,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,00e672016ac8,4de01d76ccae,7ac3d9c23f87,756653dcabed,ff6e75d6da60,ca12f7e0bc26,ad21b6c84713,2dbf72b294d1,6ded4dc64807,915c1c075d10,b4ae2c0ed561,650ed51ad0b6
df1c8a376ed9,3c8cee10d12c,ce357e258e1b,35f51d1f87cc,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,446a1f0fbe24,87017439bad0,ffc7a8c8c9ff,4de01d76ccae,f1bf25ed5e9e,83575dc8dc80,70e6db82eba8,a1506fa41e74,7352775fc497,2dbf72b294d1,8f66477f646c,e36764d55ec2,c844d4137080,ca7f84638a61
8f299afacdd0,55e36e8aee14,b749287b6b16,80dad8d45e66,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,26d34d9e95f3,8cbaaf4fe287,e1f5e9510e8d,4de01d76ccae,d5c418ba2aee,756653dcabed,c2364695c4d3,e2cf8569465e,7352775fc497,2dbf72b294d1,8f66477f646c,e39f20daadc9,b56e65895c3c,7778802fc174
8f299afacdd0,db0efe198694,e4613813839d,44b417df02c4,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,26d34d9e95f3,892e70c90b50,e1f5e9510e8d,4de01d76ccae,7ac3d9c23f87,756653dcabed,c2364695c4d3,e2cf8569465e,7352775fc497,2dbf72b294d1,8f66477f646c,e39f20daadc9,1c0a64a3f04b,7778802fc174
8f299afacdd0,98999f954b22,09e63d0b48a0,a1df6da53ba6,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,afac271cf204,f4f0d803c9db,620c655d09d4,4de01d76ccae,b36c54cab3f1,756653dcabed,80933a776306,e2cf8569465e,97fcfadd6aae,7c572aeb3f13,8f66477f646c,f998841971b1,73caf1d88ff9,6b04e1269d88
8f299afacdd0,7281ba78400c,ee38eb3bf14a,e9fe49cd6fef,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,afac271cf204,f4f0d803c9db,620c655d09d4,4de01d76ccae,0c41abdb91ef,756653dcabed,80933a776306,e2cf8569465e,97fcfadd6aae,7c572aeb3f13,8f66477f646c,f998841971b1,2768e26f5cb4,6b04e1269d88
